NUMBER;CLAS_SIFICATION;DATE_CASE;REF;NOT_COUNTRY;SUBJET;PROD_CAT;TYPE;RISK_DECISION;ACTION_TAKEN;DISTRIBUTION_STAT;PRODUCT;HAZARDS;HAZARDS_CAT;ORIG_COUNTRY;DESTIN_COUNTRY;CONCERN_COUNTRY
415;information notification for attention;2024-03-15;2024.2006;Finland;Unauthorised pesticide residue (Dichlorvos) in yellow bell peppers from Spain.;fruits and vegetables;food;serious;No stock left;Product (presumably) no longer on the market;Yellow bell pepper;dichlorvos  unauthorised substance;Pesticide residues;Spain;Finland;Finland
"416;alert notification;2024-03-15;2024.2004;Germany;Salmonella Infantis and misleading labelling of frozen meat preparation with added soy protein from Bulgaria;meat and meat products (other than poultry);food;serious;Destruction;No distribution from notifying country;Meat preparation with added soy protein;Salmonella infantis ,labelling  incorrect;Pathogenic micro-organisms;Bulgaria;Germany;Germany"
"417;information notification for follow-up;2024-03-15;2024.2003;Germany;Maximum residue levels exceeded for imidacloprid and acetamiprid in rice from Pakistan, via the Netherlands;cereals and bakery products;food;potential risk;Informing recipient(s);Distribution to other member countries;Rice;acetamiprid  ,imidacloprid  ;Pesticide residues;Pakistan;Austria,Cyprus,Czech Republic,Finland,France,Germany,Malta,Poland,Sweden;Germany"
"418;information notification for follow-up;2024-03-15;2024.2002;Germany;Mineral oil components (MOSH/MOAH) in rice from India;cereals and bakery products;food;potentially serious;Withdrawal from the market;Distribution to other member countries;Rice;mineral oil  ;Environmental pollutants;India;Austria,Belgium,Georgia,Germany,Netherlands,Poland;Germany"
"419;alert notification;2024-03-15;2024.2;France;Organic roasted pistachio nuts with aflatoxin;nuts, nut products and seeds;food;serious;Return to consignor;Distribution to other member countries;ORGANIC ROASTED PISTACHIO;Aflatoxin B1  ;Mycotoxins;Italy,Turkey;France,Germany,Italy;France"
"420;alert notification;2024-03-15;2024.1999;Italy;riscontro coli stec su formaggio di capra/Escherichia Coli Stec found on raw milk goat's cheese;milk and milk products;food;serious;Destruction;No distribution from notifying country;Formaggio di capra a latte crudo;Escherichia coli shigatoxin-producing ;Pathogenic micro-organisms;France;Belgium,Luxembourg;Italy"
"421;alert notification;2024-03-15;2024.1998;Netherlands;Glufosinate in grapes, from South-Africa;fruits and vegetables;food;serious;Informing consignor;Distribution to other member countries;Grapes;pesticide residues  ;Pesticide residues;South Africa;Czech Republic,Estonia,Hungary,Italy,Lithuania,Netherlands,Poland,Slovakia;Netherlands"
422;alert notification;2024-03-15;2024.1996;Italy;superamento limiti di mercurio in entrecote di tonno a pinne gialle congelato proveniente dalla spagna/exceeding mercury limits in frozen yellowfin tuna entrecote from Spain ;fish and fish products;food;serious;Informing authorities;No distribution from notifying country;Frozen yellowfin tuna loins (Thunnus albacares);mercury  ;Heavy metals;Spain;Spain;Italy
"423;information notification for follow-up;2024-03-15;2024.1989;Austria;Non-stick coating comes off cake baking tray from China, via Poland;food contact materials;food contact material;potential risk;Withdrawal from the market;No distribution from notifying country;Kuchen-Backblech /// cake baking tray;outer coating coming off ;Migration;China;Austria,Bosnia and Herzegovina,Bulgaria,Croatia,Czech Republic,Estonia,Germany,Greece,Hungary,Italy,Latvia,Lithuania,Portugal,Romania,Slovakia,Slovenia,Spain;Austria"
"424;information notification for attention;2024-03-15;2024.1987;Italy;Presence of poultry, bovine and swine DNA in snack from China ;prepared dishes and snacks;food;potential risk;Official detention;Distribution restricted to notifying country;Snack;import  illegal,protein poultry ;Adulteration / fraud,Composition;China;Italy;Italy"
425;information notification for attention;2024-03-15;2024.1974;France;Detection of listeria in smoked salmon ;fish and fish products;food;serious;Withdrawal from the market;Product (presumably) no longer on the market;Smoked salmon;Listeria monocytogenes ;Pathogenic micro-organisms;United Kingdom;France;France
"426;alert notification;2024-03-15;2024.1969;Netherlands;Aflatoxin in rice flour;nuts, nut products and seeds;food;serious;Informing consignor;Distribution to other member countries;Rice flour;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Cambodia,Denmark;Belgium,Denmark,Estonia,Finland,Germany;Netherlands"
"427;information notification for attention;2024-03-15;2024.1968;France;MOAH contamination in roasted coffee;cocoa and cocoa preparations, coffee and tea;food;serious;Recall from consumer;No distribution from notifying country;roasted coffee;mineral oil  ;Environmental pollutants;Ethiopia;Belgium,France;France"
428;alert notification;2024-03-15;2024.1966;Belgium;Salmonella in petfood (dogchews) from Poland;pet food;feed;serious;Withdrawal from the market;No distribution from notifying country;Dogchews;Salmonella infantis ;Pathogenic micro-organisms;Poland;Belgium;Belgium
"429;information notification for attention;2024-03-14;2024.1951;Poland;Salmonella Enteritidis in chilled poultry meat from Poland;poultry meat and poultry meat products;food;serious;Informing authorities;Product (presumably) no longer on the market;Poultry meat elements;Salmonella Enteritidis ;Pathogenic micro-organisms;Poland;Czech Republic,Germany,Poland,Slovakia;Poland"
"430;information notification for attention;2024-03-14;2024.195;France;Detection of a pesticide on fennel seeds ;nuts, nut products and seeds;food;potentially serious;Re-dispatch;Product not (yet) placed on the market;fennel seeds;chlorpyrifos  unauthorised substance;Pesticide residues;United Arab Emirates;France;France"
"431;information notification for follow-up;2024-03-14;2024.1947;Italy;Irregular presence of bovine, porcine, chicken and turkey DNA in Chinese food preparationsPresenza irregolare di DNA bovino, suino, pollo e tacchino in preparazioni alimentari cinesi;prepared dishes and snacks;food;not serious;Official detention;Distribution to other member countries;Preparazione alimentare - snack;import  illegal;Adulteration / fraud;China;Greece,Italy;Italy"
"432;information notification for attention;2024-03-14;2024.1945;Netherlands;Aflatoxin B1 in groundnutkernels from Paraquay;nuts, nut products and seeds;food;serious;Physical treatment;No distribution to other member countries;Groundnutkernels;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Paraguay;Netherlands,Switzerland;Netherlands"
"433;alert notification;2024-03-14;2024.1937;Norway;Norovirus in oysters from France;crustaceans and products thereof;food;serious;Withdrawal from the market;No distribution from notifying country;Fresh oysters;norovirus  ;Pathogenic micro-organisms;France;Italy,Malaysia,Norway,Thailand;Norway"
434;information notification for attention;2024-03-14;2024.1935;Romania;Depasire LMA pesticid chlorpirifos in POMELO origine CHINA/Exceeding LMA pesticid chlorpirifos in POMELO  CHINA;fruits and vegetables;food;potentially serious;Withdrawal from recipient(s);Distribution restricted to notifying country;Pomelo;chlorpyrifos  ;Pesticide residues;China;Romania;Romania
435;information notification for follow-up;2024-03-14;2024.1933;Germany;Shiga toxin-producing Escherichia coli (STEC) in hamburger patties from Germany;meat and meat products (other than poultry);food;potentially serious;Withdrawal from recipient(s);Distribution to other member countries;Hamburger Patties;Escherichia coli shigatoxin-producing ;Pathogenic micro-organisms;Germany;France;Germany
436;information notification for attention;2024-03-14;2024.1932;Austria;Lead in salami from Italy;meat and meat products (other than poultry);food;potentially serious;No stock left;Product (presumably) no longer on the market;Salami aus Schweine- und Wildschweinfleisch // Salami made from pork and wild boar meat;lead  ;Heavy metals;Italy;Austria;Austria
437;information notification for attention;2024-03-14;2024.1928;Netherlands;Listeria in meat from Belgium;meat and meat products (other than poultry);food;potentially serious;Informing recipient(s);Product (presumably) no longer on the market;Lean beef;Listeria monocytogenes ;Pathogenic micro-organisms;Belgium;Netherlands;Netherlands
"438;information notification for attention;2024-03-14;2024.1916;Germany;Unauthorised substances acephate, methamidophos and triazophos in dragon fruit from Indonesia;fruits and vegetables;food;not serious;Informing authorities;Product (presumably) no longer on the market;Pitahaya;acephate  unauthorised substance,methamidophos  unauthorised substance,pyraclostrobin  ,triazophos  ;Pesticide residues;Indonesia;Austria,Belgium,Croatia,France,Germany,Italy,Netherlands,Poland;Germany"
"439;alert notification;2024-03-14;2024.1912;Romania;Salmonella in chicken nuggets from Germany;poultry meat and poultry meat products;food;serious;Withdrawal from the market;No distribution from notifying country;Chicken nuggets from chicken breast fillet breaded;Salmonella  ;Pathogenic micro-organisms;Germany;Austria,Romania;Romania"
"440;alert notification;2024-03-14;2024.1911;France;DÃ©tection de E.COLI STEC ;milk and milk products;food;serious;Withdrawal from the market;Distribution to other member countries;Cheese ""brie de meaux"";Escherichia coli shigatoxin-producing suspicion;Pathogenic micro-organisms;France;Belgium,Denmark,Finland,France,Germany,Ireland,Luxembourg,Netherlands,Norway,Sweden,United Kingdom;France"
"441;information notification for follow-up;2024-03-13;2024.1903;Ireland;Elevated Hydrocyanic Acid in Cassava Flour;cereals and bakery products;food;potential risk;Recall from consumer;Distribution restricted to notifying country;Cassava Flour;cyanide  high content;Biological contaminants;Ghana;France,Germany,Ireland,Italy,Netherlands,Spain,United Arab Emirates;Ireland"
"442;information notification for attention;2024-03-13;2024.1898;Poland;stwierdzenie przekroczenia NDP pozostaÅ‚oÅ›ci pestycydu â€“ chlorku  didecylodimetyloamonu (na poziomie 0,438 mg/kg Â± 0,219) w Grejpfrutach z Turcji // exceeding the MRL for pesticide residues - didecyldimethylammonium chloride in Grapefruits from Turkey;fruits and vegetables;food;not serious;Withdrawal from the market;No distribution from notifying country;Grejpfrut // Grapefruits;didecyldimethylammonium chloride (DDAC)  ;Pesticide residues;Turkey;Poland;Poland"
"443;alert notification;2024-03-13;2024.1896;Spain;Mercurio en pez espada procedente de EspaÃ±a / Mercury in swordfish from Spain;fish and fish products;food;serious;Withdrawal from the market;Distribution restricted to notifying country;Pez espada / swordfish;mercury  ;Heavy metals;Spain;Gibraltar,Italy,Portugal,Spain;Spain"
"444;information notification for attention;2024-03-13;2024.1886;Finland;norovirus (GI and GII /2g) in live oysters (Magallana gigas) from Sweden, with raw material from Spain;bivalve molluscs and products thereof;food;potentially serious;No stock left;Product (presumably) no longer on the market;Live oysters (Magallana gigas);norovirus  ;Pathogenic micro-organisms;Spain;Finland,Sweden;Finland"
445;information notification for attention;2024-03-13;2024.1871;Italy; Histamine in fresh vacuum-packed yellowfin tuna loin from Sri Lanka;fish and fish products;food;serious;Withdrawal from recipient(s);Product (presumably) no longer on the market;fresh vacuum-packed yellowfin tuna loin;histamine  ;Biological contaminants;Sri Lanka;Italy;Italy
"446;alert notification;2024-03-13;2024.1862;France;Pesticide residues in pears;fruits and vegetables;food;serious;Informing recipient(s);No distribution from notifying country;Pears;lambda-cyhalothrin  ,tebuconazole  ;Pesticide residues;Spain;France;France"
"447;information notification for attention;2024-03-13;2024.1844;Netherlands;Salmonella in chicken fillet tenderloins from Poland via the Netherlands;poultry meat and poultry meat products;food;serious;Informing consignor;Product (presumably) no longer on the market;Chicken fillet tenderloins;Salmonella Enteritidis ;Pathogenic micro-organisms;Poland;Germany,Netherlands,United Kingdom;Netherlands"
"448;information notification for attention;2024-03-12;2024.1836;Belgium;ochratoxin A in soybeans from Canada;nuts, nut products and seeds;food;potentially serious;Detained by operator;Distribution restricted to notifying country;Soybeans;ochratoxin A  ;Mycotoxins;Canada;Belgium;Belgium"
"449;information notification for attention;2024-03-12;2024.1835;Switzerland;Chlorpyrifos and Dimethoate in Oranges from Egypt;fruits and vegetables;food;serious;Withdrawal from the market;Product (presumably) no longer on the market;Oranges;chlorpyrifos  unauthorised substance,dimethoate  ;Pesticide residues;Egypt;Austria,Lithuania,Sweden,Switzerland;Switzerland"
450;information notification for attention;2024-03-12;2024.1834;Poland;Salmonella Seftenberg in feed material (sunflower cake) from Ukraine;feed materials;feed;potentially serious;Informing authorities;Product allowed to travel to destination under customs seals;Sunflower cake;Salmonella Senftenberg ;Pathogenic micro-organisms;Ukraine;Poland;Poland
451;information notification for attention;2024-03-12;2024.1832;Germany;Genetically modified rice in rice noodles from Vietnam;cereals and bakery products;food;potential risk;Withdrawal from the market;Distribution restricted to notifying country;Rice noodles;genetically modified  unauthorised;Genetically modified;Vietnam;Germany;Germany
"452;information notification for attention;2024-03-12;2024.1829;Finland;Norovirus in oysters;bivalve molluscs and products thereof;food;potentially serious;No stock left;Product (presumably) no longer on the market;Live oysters;norovirus  ;Pathogenic micro-organisms;Ireland;Denmark,Finland,Sweden;Finland"
453;information notification for attention;2024-03-12;2024.1828;Belgium;Ethylene oxide (sum) in laurel leaves from Turkey;herbs and spices;food;serious;Recall from consumer;Distribution restricted to notifying country;Laurel leaves;ethylene oxide  ;Pesticide residues;Turkey;Belgium;Belgium
454;information notification for follow-up;2024-03-12;2024.1827;Germany;Maximum zinc content exceeded in complete feed for piglets from Germany;feed materials;feed;not serious;Informing recipient(s);Distribution to other member countries;Complete feed for piglets;zinc  too high content;Composition;Germany;France;Germany
"455;alert notification;2024-03-12;2024.1826;Belgium;Excessive content of vitamin D in Olive Drops (food supplement) for infants from Germany;dietetic foods, food supplements and fortified foods;food;serious;Recall from consumer;No distribution from notifying country;Vitamin D & K Olive drops;vitamin D  too high content;Composition;Germany;Netherlands;Belgium"
456;border rejection notification;2024-03-12;2024.1822;Ireland;Migration of primary aromatic amines (PAAs) from Kitchen Tongs;food contact materials;food contact material;potential risk;Destruction;Product not (yet) placed on the market;Kitchen tongs;primary aromatic amines  migration;Migration;China;United Kingdom;Ireland
"457;information notification for attention;2024-03-11;2024.1797;Ireland;Unsatisfactory labelling and elevated benzoic acid in guarana-flavoured soft drink from Brazil, dispatched from the United Kingdom;non-alcoholic beverages;food;potential risk;Withdrawal from the market;Distribution restricted to notifying country;Guarana-flavoured soft drink;E 210 - benzoic acid  too high content;Food additives and flavourings;Brazil;Ireland;Ireland"
"458;information notification for attention;2024-03-11;2024.1796;Netherlands;Aflatoxin B1 (2,2 ppb) in groundnut kernels from Argentina;nuts, nut products and seeds;food;serious;Physical treatment;No distribution from notifying country;Groundnut kernels;Aflatoxin B1  ;Mycotoxins;Argentina;Netherlands;Netherlands"
"459;alert notification;2024-03-11;2024.1793;Germany;Salmonella spp. in sliced almonds from Spain;fruits and vegetables;food;serious;Withdrawal from the market;No distribution from notifying country;Sliced almonds;Salmonella  ,Salmonellen  ;Pathogenic micro-organisms;Spain;France,Germany,Luxembourg,Spain,United Arab Emirates,United Kingdom;Germany"
"460;information notification for attention;2024-03-11;2024.1791;Italy;Norovirus GII in Goma Wakame (antipasto giapponese di alghe congelato) origine Taiwan//Norovirus GII in Goma Wakame (Japanese frozen seaweed appetizer) origin Taiwan;fruits and vegetables;food;serious;Informing authorities;Distribution to non-member countries only;Goma Wakame - Seasoned Seaweed Salad;norovirus  ;Pathogenic micro-organisms;Taiwan;Italy,San Marino;Italy"
"461;alert notification;2024-03-11;2024.179;Austria;Pesticide residues in spring onion from Egypt, via Italy;fruits and vegetables;food;potentially serious;Public warning - press release;Distribution to other member countries;Jungzwiebel /// spring onion;carbofuran  ;Pesticide residues;Egypt;Austria,Germany,Italy;Austria"
"462;information notification for attention;2024-03-11;2024.1011;Netherlands;Salmonella spp in wild boar burger / steak hachÃ© de sanglier;meat and meat products (other than poultry);food;serious;Informing consignor;Product (presumably) no longer on the market;Wild boar burger / steak haché de sanglier;Salmonella  ;Non-pathogenic micro-organisms;Netherlands;Belgium,Luxembourg,Netherlands;Netherlands"
"463;alert notification;2024-03-11;2024.1789;Germany;Listeria monocytogenes in pistachio powder from Turkey, via France;nuts, nut products and seeds;food;potentially serious;Recall from consumer;Distribution to other member countries;Pistachio powder;Listeria monocytogenes ;Pathogenic micro-organisms;Turkey;Belgium,France,Germany,Italy,Monaco,Spain,Switzerland,United Kingdom;Germany"
"464;information notification for attention;2024-03-11;2024.1788;Germany;Salmonella spp. in sesame paste from Turkey;nuts, nut products and seeds;food;serious;Withdrawal from the market;No distribution from notifying country;Sesame paste;Salmonella spp  ;Pathogenic micro-organisms;Turkey;Germany;Germany"
"465;alert notification;2024-03-11;2024.1786;Germany;Mycotoxins and Listeria monocytogenes in pistachio powder from France;nuts, nut products and seeds;food;potentially serious;Recall from consumer;Distribution to other member countries;Pistachio powder;Aflatoxin B1  ,Listeria monocytogenes ,aflatoxin total ,ochratoxin A  ;Mycotoxins,Pathogenic micro-organisms;France;Algeria,Belgium,France,Germany,Italy,Luxembourg,Monaco,Netherlands,Romania,Spain,Switzerland,United Kingdom;Germany"
466;information notification for attention;2024-03-11;2024.178;Finland;Norovirus in oysters from France;bivalve molluscs and products thereof;food;potentially serious;No stock left;Product (presumably) no longer on the market;Live oysters;norovirus  ;Pathogenic micro-organisms;France;Finland;Finland
"467;information notification for follow-up;2024-03-11;2024.176;Romania;Salmonella enteritidis in frozen duck breast from Hungary;poultry meat and poultry meat products;food;potential risk;Official detention;Distribution restricted to notifying country;Piept de rata congelata / Frozen duck breast;Salmonella Enteritidis ,Salmonella spp  ;Pathogenic micro-organisms;Hungary;Romania;Romania"
"468;alert notification;2024-03-11;2024.1758;Netherlands;Glycidyl Esters in Dietary Supplement Pills;dietetic foods, food supplements and fortified foods;food;serious;Informing consignor;No distribution from notifying country;Dietary Supplement Pills;glycidyl esters  ;Industrial contaminants;Romania;Netherlands,Suriname;Netherlands"
"469;alert notification;2024-03-11;2024.1757;Netherlands;Pesticide Residues in Avocado Hass from Colombia;fruits and vegetables;food;serious;Informing consignor;Distribution to other member countries;Avocado Hass;cypermethrin  ,lambda-cyhalothrin  ;Pesticide residues;Colombia;France,Germany,Lithuania,Netherlands,Sweden,United Kingdom;Netherlands"
"470;information notification for attention;2024-03-11;2024.1755;Italy;Presenza di E.Coli Stec (stx1+)  in formaggio a latte crudo //Presence of E.Coli VTEC (stx1+) in raw milk cheese;milk and milk products;food;serious;Informing consignor;Distribution restricted to notifying country;Formaggio//Cheese;Escherichia coli shigatoxin-producing ;Pathogenic micro-organisms;Italy;China,Italy;Italy"
"471;information notification for follow-up;2024-03-11;2024.1753;Germany;Migration of photoinitiators from packaging into sheep's cheese from Bulgaria;food contact materials;food contact material;potential risk;Withdrawal from the market;Distribution to other member countries;Sheep's cheese packaging;1-hydroxy-cyclohexyl phenyl ketone  migration,methyl-2-benzoylbenzoate  migration;Migration;Bulgaria;Austria,Denmark,France,Germany,Malta,Netherlands,Sweden,Switzerland;Germany"
"472;information notification for attention;2024-03-11;2024.174;Netherlands;Aflatoxin B1 in groundnuts from Paraguay;nuts, nut products and seeds;food;serious;Informing consignor;No distribution from notifying country;Groundnutkernels;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Paraguay;Netherlands;Netherlands"
"473;information notification for follow-up;2024-03-08;2024.1734;Finland;Salmonella Agona in sunflower meal ;feed materials;feed;potential risk;Physical treatment - acid treatment;No distribution from notifying country;Sunflower meal, in bulk;Salmonella Agona ;Pathogenic micro-organisms;Ukraine;Finland,Lithuania;Finland"
"474;alert notification;2024-03-08;2024.1733;Belgium;ochratoxine A in coffee;cocoa and cocoa preparations, coffee and tea;food;potentially serious;Informing recipient(s);Distribution to other member countries;Coffee;ochratoxin A  ;Mycotoxins;Belgium;France;Belgium"
475;information notification for attention;2024-03-08;2024.1729;France;high pesticide residues in peppers;other food product / mixed;food;serious;Destruction;No distribution from notifying country;Peppers;imidacloprid  ;Pesticide residues;Morocco;France;France
"476;alert notification;2024-03-08;2024.1727;France;Anthraquinone in ground cardamom;herbs and spices;food;serious;Informing authorities;No distribution from notifying country;Ground cardamom;anthraquinone  ;Pesticide residues;Belgium;France,Hungary,Italy;France"
"477;information notification for attention;2024-03-08;2024.1724;Netherlands;Aflatoxin B1 in groundnuts from Paraguay;nuts, nut products and seeds;food;serious;Informing consignor;No distribution from notifying country;Groundnuts;Aflatoxin B1  ;Mycotoxins;Paraguay;Netherlands;Netherlands"
"478;alert notification;2024-03-08;2024.1723;Germany;Deoxynivalenol (DON) in corn from South Africa, via the Netherlands;cereals and bakery products;food;serious;Re-dispatch;No distribution from notifying country;Corn;deoxynivalenol (DON)  ;Mycotoxins;South Africa;Germany,Netherlands;Germany"
"479;information notification for follow-up;2024-03-08;2024.1721;Switzerland;Unauthorises novel food ingredient and high content of berberin in food supplement ;dietetic foods, food supplements and fortified foods;food;potentially serious;Official detention;Product traded online;Food supplements;novel food ingredient  unauthorised;Novel food;Netherlands;Switzerland;Switzerland"
"480;information notification for follow-up;2024-03-08;2024.172;Switzerland;food supplement exceeding upper intake level of zinc;dietetic foods, food supplements and fortified foods;food;potentially serious;Official detention;Product traded online;Food supplements;zinc  too high content;Composition;Netherlands;Switzerland;Switzerland"
481;information notification for attention;2024-03-08;2024.1717;Italy;Presence of Norovirus in oysters from France;bivalve molluscs and products thereof;food;potentially serious;Informing consignor;Product (presumably) no longer on the market;Ostrica concava /oysters;norovirus  ;Pathogenic micro-organisms;Ireland;Italy;Italy
"482;alert notification;2024-03-08;2024.1715;Italy;Presenza di Norovirus GII in Mirtilli surgelati  Presence of Norovirus GII in frozen blueberries;fruits and vegetables;food;serious;Informing authorities;Information on distribution not (yet) available;Mirtilli surgelati;norovirus  ;Pathogenic micro-organisms;Germany;Germany,Italy;Italy"
483;information notification for attention;2024-03-08;2024.1714;Italy;Undeclared allergens (crustaceans) in instant noodles from China;prepared dishes and snacks;food;serious;Official detention;Distribution restricted to notifying country;Instant noodles;crustaceans  undeclared;Allergens;China;Italy;Italy
484;information notification for attention;2024-03-08;2024.1708;Lithuania;Too high content of benzoic acid (E 210) in lemonade from United States;non-alcoholic beverages;food;not serious;Prohibition to trade - sales ban;Product not (yet) placed on the market;Lemonade;E 210 - benzoic acid  too high content;Food additives and flavourings;United States;Lithuania;Lithuania
"485;alert notification;2024-03-08;2024.1707;Italy;Undeclared allergen (egg) and chicken DNA in chicken flavored granular broth from China via Hong Kong;other food product / mixed;food;serious;Seizure;Distribution to other member countries;Brodo granulare al sapore di pollo chicken flavored granular broth;egg  undeclared,protein poultry ;Allergens, Composition;China;France,Hungary,Italy;Italy"
"486;border rejection notification;2024-03-08;2024.1703;Finland;Aflatoxin B1 and total aflatoxins in dried figs from Turkiye.;fruits and vegetables;food;serious;Return to consignor;Product not (yet) placed on the market;Dried figs;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Turkey;Finland;Finland"
"487;information notification for attention;2024-03-08;2024.1695;Netherlands;Afatoxin in Paraquayan groundnutkernels;nuts, nut products and seeds;food;serious;Informing consignor;No distribution from notifying country;Groundnutkernels;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Paraguay;Netherlands;Netherlands"
"488;border rejection notification;2024-03-08;2024.1684;Cyprus;Residues of unauthorized  pesticides Iprodione and Propargite in fresh Red Peppers (capsicum annuum) from Egypt;fruits and vegetables;food;not serious;Official detention;Product not (yet) placed on the market;Fresh Red Peppers (capsicum annuum);iprodione  ,propargite  ;Pesticide residues;Egypt;Cyprus;Cyprus"
"489;information notification for follow-up;2024-03-07;2024.166;Estonia;Salmonella spp in fresh chicken fillet from PL via EE to FI;poultry meat and poultry meat products;food;not serious;Informing recipient(s);Distribution to other member countries;FRESH CKN FILLET 2,5KG MAP;Salmonella  ;Pathogenic micro-organisms;Poland;Estonia,Finland,Latvia,Lithuania,United Kingdom;Estonia"
"490;alert notification;2024-03-07;2024.1659;Germany;High content of cyanide in linseed flour from Begium, via France;nuts, nut products and seeds;food;potentially serious;Informing consignor;No distribution from notifying country;Linseed flour;cyanide  high content;Biological contaminants;Belgium;France,Germany,Italy;Germany"
"491;information notification for follow-up;2024-03-07;2024.1658;Poland;Salmonella spp present in 3 out of 5 samples in raw, frozen pork.;meat and meat products (other than poultry);food;not serious;Reinforced checking;No distribution from notifying country;Raw, frozen pork;Salmonella spp  ;Pathogenic micro-organisms;Spain;Poland;Poland"
"492;information notification for follow-up;2024-03-07;2024.1655;Germany;Acetamiprid in pomegranate from Turkey;fruits and vegetables;food;potential risk;Withdrawal from the market;Distribution to other member countries;Pomegranate;acetamiprid  ;Pesticide residues;Turkey;Austria,France,Germany;Germany"
"493;border rejection notification;2024-03-07;2024.1642;Cyprus;Unauthorized use of Sorbic acid E200 and  Benzoic acid  E210 in Mango Nectar from Egypt  ;non-alcoholic beverages;food;not serious;Official detention;No distribution from notifying country;Mango Nectar;E 200 - sorbic acid  unauthorised,E 210 - benzoic acid  unauthorised;Food additives and flavourings;Egypt;Cyprus;Cyprus"
"494;alert notification;2024-03-07;2024.1631;Spain;Mercurio por encima del lÃ­mite legal en rodajas de pez espada ( Xiphias gladius) congelados procedentes de EspaÃ±a / Mercury above the legal limit in frozen swordfish ( Xiphias gladius) slices from Spain;fish and fish products;food;serious;Destruction;Distribution to other member countries;Pez espada / swordfish;mercury  ;Heavy metals;Spain;Italy,Spain;Spain"
495;information notification for attention;2024-03-07;2024.1624;France;Cadmium in frozen octopus from India;cephalopods and products thereof;food;serious;Informing authorities;No distribution from notifying country;Octopus;cadmium  ;Heavy metals;India;France;France
"496;information notification for attention;2024-03-06;2024.1618;Germany;Acephate and metamidophos in long beans from Mexico;fruits and vegetables;food;serious;Informing recipient(s);Product (presumably) no longer on the market;Long beans;acephate  unauthorised substance,bifenthrin  ,methamidophos  unauthorised substance;Pesticide residues;Mexico;France,Germany;Germany"
"497;alert notification;2024-03-06;2024.1614;Germany;Excessive levels of hydrocyanic acid in manioc flour from Cameroon, via Belgium;other food product / mixed;food;serious;No stock left;No distribution from notifying country;Manioc flour;cyanide  too high content;Biological contaminants;Cameroon;Belgium,France,Germany;Germany"
"498;alert notification;2024-03-06;2024.1612;Denmark;Sulfur dioxide above MRL and undeclared in dried, organic shiitake mushrooms from China via France;fruits and vegetables;food;serious;Recall from consumer;Distribution to other member countries;Shiitake mushrooms;E220- sulfur dioxide  too high content;Food additives and flavourings;China;Belgium,Denmark,France;Denmark"
"499;information notification for attention;2024-03-06;2024.161;Netherlands;Aflatoxine in groundnut kernels from Paraguay;nuts, nut products and seeds;food;serious;Informing consignor;No distribution from notifying country;Groundnut Kernels;Aflatoxin B1  ;Mycotoxins;Paraguay;Netherlands;Netherlands"
"500;alert notification;2024-03-06;2024.1607;Netherlands;Aflatoxin B1 (92 ppb), Aflatoxin Sum (97 ppb) and Ochratoxin A (16 ppb) in pistachios from Iran via Spain;nuts, nut products and seeds;food;serious;Informing consignor;Distribution to other member countries;Pistachios;Aflatoxin B1  ,aflatoxin total ,ochratoxin A  ;Mycotoxins;Iran,Netherlands;Belgium,Curaçao,Denmark,Germany,Ghana,Netherlands,Spain;Netherlands"
"501;information notification for attention;2024-03-06;2024.1606;Portugal;too high content of sulphite in chilled cooked whiteleg shrimps (Litopenaeus vannamei) from Venezuela, packaged in Spain;crustaceans and products thereof;food;not serious;No stock left;Product (presumably) no longer on the market;Chilled cooked whiteleg shrimps (Litopenaeus vannamei);sulphite  too high content;Food additives and flavourings;Venezuela;Spain;Portugal"
"502;alert notification;2024-03-06;2024.1591;Germany;Shiga toxin-producing Escherichia coli (STEC) in frozen hamburger patties from Germany;meat and meat products (other than poultry);food;serious;Withdrawal from recipient(s);Distribution to other member countries;Hamburger Patties;Escherichia coli  ;Pathogenic micro-organisms;Germany;Belgium,Luxembourg,Netherlands;Germany"
"503;information notification for follow-up;2024-03-05;2024.1586;Finland;Salmonella Mbandaka in PAP (turkey meal) from Italy;feed materials;feed;not serious;Return to consignor;No distribution from notifying country;PAP, Turkey meal;Salmonella Mbandaka ;Pathogenic micro-organisms;Italy;Finland,Netherlands;Finland"
"504;information notification for follow-up;2024-03-05;2024.1581;Italy;Presence of Melamine in plastic bowls;food contact materials;food contact material;potentially serious;Informing recipient(s);Distribution to other member countries;Melamine bowls;melamine  migration;Migration;China;Albania,Austria,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Gibraltar,Greece,Italy,Lithuania,Malta,Montenegro,Poland,Romania,Serbia,Slovakia,Slovenia,Spain,United Arab Emirates;Italy"
